"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:21:05.709293","True",1,47.8,"8.2G",221,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:21:16.977958","True",2.9,47.8,"8.2G",221,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:21:28.147275","True",1.9,47.9,"8.2G",221,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:21:39.304889","True",0.9,47.7,"8.2G",220,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:21:50.450654","True",1,47.6,"8.2G",220,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:01.603954","True",0,47.6,"8.2G",219,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:12.742304","True",1.3,47.6,"8.2G",219,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:23.879868","True",2,47.4,"8.3G",219,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:34.989769","True",1,47.4,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:46.061237","True",1.1,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:22:57.146712","True",0,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:23:08.211451","True",1,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:23:19.267053","True",0,47.3,"8.3G",218,20.1,"380.4G"
